country,region,in_ajr64,colonizer,religion,ever_colonized,protestant,catholic,edu_1900_cohort_lsec,edu_1925_cohort_lsec,edu_1950,edu_1975,edu_2000,edu_2020,edu_female_1950,primary_1950,log_gdp_1960,log_gdp_2020,le_1960,le_2020,tfr_1960,tfr_2020,u5mr_1960,u5mr_2015,polity2_avg_1980_2010,polity2_avg_1995_2010,polity2_2015,crossing_year,edu_at_cross
Fiji,East Asia & Pacific,False,Britain,protestant,True,1,0,0.25,1.82,11.05,40.98,78.12,89.56,9.34,42.12,7.666222421681337,8.459801935670717,58.602,66.924,6.364,2.357,77.0,24.6,3.4516129032258065,2.6875,2.0,,
Finland,Europe & Central Asia,False,,protestant,False,1,0,1.04,6.68,30.25,78.74,99.77,103.84,31.02,99.92,9.319533608895258,10.707526972991552,68.819756,81.931707,2.72,1.37,26.9,2.2,10.0,10.0,10.0,1970.0,69.52
France,Europe & Central Asia,False,,catholic,False,0,1,3.07,8.98,33.78,72.74,92.72,130.22,32.6,96.78,9.285088165778944,10.483163766271534,69.868293,82.17561,2.85,1.83,28.5,4.1,9.806451612903226,10.0,10.0,1960.0,47.99
French Polynesia,Other,False,,unknown,False,0,0,0.47,4.08,17.97,59.76,88.34,96.85,14.06,45.11,,9.853603288367514,59.445,82.459,5.931,1.57,,,,,,1987.0,73.23599999999999
Gabon,Sub-Saharan Africa,True,France,catholic,True,0,1,0.0,0.0,0.51,24.29,43.95,48.98,0.16,3.59,8.105095215797249,8.784817392744904,46.443,67.073,4.422,3.831,229.0,51.0,-5.225806451612903,-3.125,3.0,,
Gambia,Sub-Saharan Africa,True,Britain,protestant,True,1,0,0.0,0.0,0.03,10.69,30.4,54.15,0.01,0.04,,6.508409374798563,34.574,64.418,6.246,4.248,361.0,64.7,0.41935483870967744,-5.1875,-5.0,,
Georgia,Europe & Central Asia,False,,orthodox,False,0,0,0.0,3.95,72.07,98.1,98.58,128.98,71.97,91.06,7.271158522860281,8.446686872316421,61.347,73.509,2.942,1.976,103.0,10.5,3.75,4.375,7.0,1996.0,98.78
Germany,Europe & Central Asia,False,,protestant,False,1,0,63.15,85.56,94.64,96.88,96.57,115.77,93.65,99.99,9.442003073264885,10.654263641133488,69.064073,81.041463,2.37,1.53,40.5,3.86,10.0,10.0,10.0,1963.0,96.786
Ghana,Sub-Saharan Africa,True,Britain,protestant,True,1,0,1.63,6.53,18.64,48.84,55.4,66.42,7.51,22.55,7.00375890193554,7.585887352410722,46.942,64.309,6.89,3.541,209.0,54.7,0.7419354838709677,5.1875,8.0,,
Greece,Europe & Central Asia,False,,orthodox,False,0,0,2.77,8.18,20.6,58.55,89.16,121.38,16.02,65.72,8.514341227430364,9.769210243670958,70.434317,81.287805,2.23,1.39,46.3,4.58,9.612903225806452,10.0,10.0,1960.0,29.47
Guatemala,Latin America & Caribbean,True,Spain,catholic,True,0,1,0.69,2.13,6.33,15.22,31.16,52.23,6.67,15.36,7.5414499788123015,8.295508354660438,45.76,69.971,6.999,2.47,221.0,29.0,3.838709677419355,7.6875,8.0,2010.0,42.84
Guinea,Sub-Saharan Africa,True,France,catholic,True,0,1,0.0,0.03,0.71,9.38,12.62,31.42,0.21,1.56,,6.851788875239312,36.623,59.35,6.112,4.489,348.0,107.0,-3.838709677419355,-0.875,4.0,,
Guinea-Bissau,Sub-Saharan Africa,False,Portugal,catholic,True,0,1,0.0,0.03,0.62,6.98,22.35,26.42,0.1,0.8,,6.565652400608246,37.554,61.343,5.921,4.075,324.0,91.2,-1.5161290322580645,3.625,6.0,,
Guyana,Latin America & Caribbean,True,Britain,protestant,True,1,0,5.33,16.64,32.72,65.54,83.0,92.64,29.79,60.99,7.913400371381745,9.10615805141829,57.51,67.751,6.331,2.491,92.1,33.1,0.967741935483871,6.0,7.0,2022.0,93.02
Haiti,Latin America & Caribbean,True,France,catholic,True,0,1,1.85,3.33,5.21,12.25,41.96,52.54,4.39,9.11,7.458778006961097,7.194209937219189,43.44,63.773,6.178,2.804,283.0,70.6,-0.5806451612903226,2.8125,0.0,,
Honduras,Latin America & Caribbean,True,Spain,catholic,True,0,1,1.46,2.28,3.92,14.28,26.75,48.37,4.11,10.73,5.336649415725659,7.691397285480679,47.149,70.864,7.458,2.577,209.0,19.5,6.032258064516129,6.75,7.0,2009.0,37.658
Hong Kong Special Administrative Region of China,Other,False,,unknown,False,0,0,0.0,0.38,13.94,50.21,92.26,139.49,7.31,31.85,,10.632274477636386,65.697122,85.496341,5.085,0.883,53.6,2.3,,,,1969.0,43.538000000000004
Hungary,Europe & Central Asia,False,,catholic,False,0,1,3.54,19.05,67.95,97.78,98.47,130.87,63.03,98.81,7.641917010882083,9.593171051180066,68.003171,75.419512,2.02,1.59,53.5,5.14,5.032258064516129,10.0,10.0,1966.0,95.026
Iceland,Europe & Central Asia,False,,protestant,False,1,0,1.0,79.35,99.98,99.95,99.96,107.76,99.97,99.99,9.56248520757097,10.867888356150228,74.040073,83.063415,4.29,1.72,21.4,2.18,,,,1966.0,99.938
India,South Asia,True,Britain,protestant,True,1,0,1.43,4.24,10.33,26.62,46.32,75.24,3.52,18.92,5.745493187749092,7.499147162821108,45.61,70.156,5.921,2.047,242.0,43.6,8.419354838709678,8.8125,9.0,2017.0,70.35
Indonesia,East Asia & Pacific,True,Netherlands,protestant,True,1,0,0.01,0.62,4.53,25.02,60.5,89.04,2.71,29.57,6.393146687140134,8.226693571001457,46.835,68.817,5.505,2.189,223.0,28.0,-1.4516129032258065,3.75,9.0,2017.0,81.60000000000001
Iran (Islamic Republic of),Middle East & North Africa,False,,muslim,False,0,0,0.0,0.15,4.74,29.41,65.88,86.62,3.26,12.46,7.7600879599332835,8.543411334037636,43.297,74.141,7.519,1.7,327.0,16.0,-4.064516129032258,-2.25,-7.0,2000.0,65.88
