country,shortnam,colonizer,religion,protestant,independence_year,latitude,avexpr,logem4,logpgp95_ajr,euro1900,polity2_2015,edu_1900_cohort_lsec,edu_1925_cohort_lsec,edu_1900_cohort_primary,edu_1925_cohort_primary,edu_1950,edu_1975,edu_2000,edu_2020,edu_female_1950,edu_female_1975,primary_1950,log_gdp_1960,log_gdp_2020,le_1960,le_1975,le_2020,tfr_1960,tfr_1975,tfr_2020,u5mr_1960,u5mr_2020,crossing_year,edu_at_cross
India,IND,Britain,protestant,1,1947,20.6,8.272727012634277,3.8842406272888184,7.326000213623047,0.0,9.0,1.43,4.24,4.28,9.77,10.33,26.62,46.32,75.24,3.52,15.21,18.92,5.745493187749092,7.499147162821108,45.61,50.761,70.156,5.921,5.195,2.047,242.0,,2017.0,70.35
Indonesia,IDN,Netherlands,protestant,1,1945,-0.8,7.590909004211426,5.135798454284668,8.070905685424805,0.0,9.0,0.01,0.62,0.06,2.62,4.53,25.02,60.5,89.04,2.71,19.49,29.57,6.393146687140134,8.226693571001457,46.835,55.998,68.817,5.505,5.032,2.189,223.0,,2017.0,81.60000000000001
Jamaica,JAM,Britain,protestant,1,1962,18.1,7.090909004211426,4.867534637451172,8.188689231872559,1.899999976158142,9.0,1.81,7.36,13.02,32.46,22.16,57.5,89.74,95.88,21.92,59.7,59.36,,8.578822757518735,63.828,68.168,71.452,5.538,4.436,1.383,82.4,,1984.0,78.85
Kenya,KEN,Britain,protestant,1,1963,-0.0,6.045454502105713,4.976733684539795,7.056175231933594,0.0,9.0,0.12,0.93,0.35,2.2,5.75,26.3,60.22,70.34,2.35,16.77,9.63,6.6757702820242395,7.3835757954133125,48.477,56.62,61.596,7.651,7.795,3.364,198.0,,,
Madagascar,MDG,France,catholic,0,1960,-18.8,4.454545497894287,6.28420877456665,6.835184574127197,0.0,6.0,0.03,0.36,0.19,1.29,3.52,12.85,16.13,28.54,3.39,8.95,9.46,6.699808620224703,6.04719309681816,43.349,49.596,62.706,7.343,6.971,4.17,241.0,,,
Malaysia,MYS,Britain,protestant,1,1957,4.2,7.954545497894287,2.8735647201538086,8.894258499145508,0.0,5.0,5.02,17.15,5.16,18.08,9.65,50.51,85.83,97.05,5.3,42.96,16.76,7.1438665898717,9.227341606877387,57.168,65.697,76.057,6.412,4.501,1.68,92.6,,1987.0,76.18
Mali,MLI,France,catholic,0,1960,17.6,4.0,7.9861650466918945,6.56526517868042,0.0,5.0,0.02,0.14,0.36,0.87,0.8,6.01,10.2,30.51,0.3,2.57,2.2,,6.771235914813409,30.459,36.484,58.858,7.019,7.253,5.85,423.0,,,
Malta,MLT,Britain,protestant,1,1964,35.9,7.2272725105285645,2.7911651134490967,9.42706298828125,,,32.72,30.61,82.52,81.42,26.9,52.73,99.48,99.9,21.06,49.04,81.75,,10.235012582026432,68.344098,71.95322,82.097561,3.62,2.27,1.13,40.7,,1968.0,44.124
Mexico,MEX,Spain,catholic,0,1821,23.6,7.5,4.2626800537109375,8.943767547607422,15.000000953674316,8.0,0.0,0.25,0.06,1.46,5.78,36.03,72.09,100.94,5.88,32.9,17.39,8.329849369414783,9.130717302067403,53.573,61.883,70.449,6.763,5.739,1.99,150.0,,1993.0,67.01599999999999
Morocco,MAR,France,catholic,0,1956,31.8,7.090909004211426,4.359269618988037,8.042378425598145,1.0,-4.0,0.0,0.0,0.0,0.01,0.4,14.42,30.27,66.79,0.05,8.31,0.98,,8.036215741288459,41.73,51.356,73.133,6.887,6.299,2.32,237.0,,2008.0,39.914
New Zealand,NZL,Britain,protestant,1,1907,-40.9,9.727272987365723,2.1459312438964844,9.756147384643555,93.0,10.0,4.18,16.41,98.22,98.3,50.99,85.52,94.82,132.83,44.75,85.63,98.24,9.785803399053242,10.591257127886205,71.236585,72.219512,82.256098,4.24,2.37,1.61,27.9,,1965.0,76.02
Nicaragua,NIC,Spain,catholic,0,1821,12.9,5.2272725105285645,5.0955891609191895,7.544332027435303,20.0,9.0,0.04,0.42,0.83,3.22,3.52,20.69,36.6,54.84,2.7,18.6,12.37,7.421941120288449,7.575683011848466,46.399,55.774,70.766,7.159,6.445,2.299,194.0,,2005.0,38.94
Niger,NER,France,catholic,0,1960,17.6,5.0,5.991464614868164,6.733401775360107,0.0,6.0,0.0,0.0,0.0,0.0,0.04,1.68,4.69,12.83,0.0,0.32,0.09,6.609900184363318,6.278885952464047,36.193,36.568,59.89,7.53,7.539,6.369,319.0,,,
Nigeria,NGA,Britain,protestant,1,1960,9.1,5.545454502105713,7.602900505065918,6.8134446144104,0.0,7.0,0.07,0.64,0.66,3.31,3.55,15.12,44.85,62.94,0.72,8.58,11.44,7.282748065430256,7.709167594007446,37.207,43.054,53.072,6.364,6.773,4.7,340.0,,,
Pakistan,PAK,Britain,protestant,1,1947,30.4,6.045454502105713,3.610647678375244,7.352441310882568,0.0,7.0,0.77,2.52,1.51,4.54,7.36,19.87,37.33,53.55,2.39,9.54,11.88,6.0257738488089885,7.330409127302006,44.101,54.722,65.701,6.8,6.812,3.765,253.0,,,
Panama,PAN,Spain,catholic,0,1903,8.5,5.909090995788574,5.0955891609191895,8.836374282836914,20.0,9.0,3.62,7.42,18.63,27.92,17.71,47.41,66.58,98.17,19.75,48.83,42.76,7.84125264127042,9.445181847400645,60.278,67.243,76.33,5.829,4.414,2.184,89.5,,1983.0,58.47
Paraguay,PRY,Spain,catholic,0,1811,-23.4,6.954545497894287,4.357990264892578,8.20794677734375,25.0,9.0,1.11,3.08,7.06,14.5,10.06,23.59,47.55,69.02,9.25,22.74,25.32,7.318646580638173,8.717550469204564,60.197,63.435,72.72,6.5,5.177,2.497,82.4,,2000.0,47.55
Peru,PER,Spain,catholic,0,1821,-9.2,5.7727274894714355,4.2626800537109375,8.396154403686523,30.000001907348633,9.0,1.95,6.28,13.98,25.73,18.03,49.64,74.1,106.56,15.16,42.51,41.38,7.902624076865687,8.671086166268992,50.597,58.205,73.832,6.941,5.709,2.056,227.0,,2000.0,74.1
Senegal,SEN,France,catholic,0,1960,14.5,6.0,5.103882789611816,7.402451515197754,0.0,7.0,0.0,0.09,0.21,0.94,1.38,11.59,13.49,32.96,0.35,6.03,4.12,7.04838826710417,7.2165563450279215,39.668,43.938,67.496,6.996,7.252,4.003,296.0,,,
Sierra Leone,SLE,Britain,protestant,1,1961,8.5,5.818181991577148,6.18001651763916,6.253829002380371,0.0,7.0,0.01,0.17,0.05,0.39,1.45,11.44,18.0,54.87,0.53,4.81,2.49,6.784521664623289,6.917956020064205,33.09,40.99,59.694,6.175,6.546,4.08,393.0,,,
Singapore,SGP,Britain,protestant,1,1965,1.4,9.318181991577148,2.8735647201538086,10.14643383026123,4.0,-2.0,0.01,0.63,0.4,5.65,13.36,66.93,97.03,99.52,7.72,60.9,27.47,8.192004082505488,10.988502884411568,65.562195,70.405512,83.543902,5.76,2.07,1.1,47.7,,1974.0,64.76400000000001
South Africa,ZAF,Britain,protestant,1,1910,-30.6,6.863636493682861,2.740839958190918,8.885993957519531,22.0,9.0,2.9,9.42,4.83,15.01,23.29,38.15,79.82,96.27,17.99,35.59,35.72,8.292407491764193,8.625075793877656,52.575,57.591,65.15,6.105,5.191,2.257,191.0,,,
Sri Lanka,LKA,Britain,protestant,1,1948,7.9,6.045454502105713,4.245634078979492,7.731930732727051,0.0,6.0,10.28,15.28,22.79,29.51,22.35,54.41,80.97,92.7,18.4,53.07,39.97,,8.349302957077343,60.602,65.355,76.928,5.352,3.816,2.007,97.8,,1993.0,71.894
Sudan,SDN,Britain,protestant,1,1956,12.9,4.0,4.479607105255127,7.3065314292907715,0.0,,0.08,0.49,0.12,0.63,2.59,13.49,33.93,41.49,1.44,7.6,2.89,6.747272418817113,6.963062017417724,49.566,53.31,65.124,6.663,6.866,4.542,177.0,,,
Togo,TGO,France,catholic,0,1960,8.6,6.909090995788574,6.504288196563721,7.2225661277771,0.0,-2.0,0.02,0.17,0.3,1.07,1.1,12.16,19.21,40.53,0.36,4.11,4.37,6.1077856413152025,6.694934139043027,43.536,49.046,61.123,6.797,7.088,4.386,270.0,,,
Trinidad and Tobago,TTO,Britain,protestant,1,1962,10.7,7.454545497894287,4.442651271820068,8.768730163574219,40.0,9.0,0.31,2.81,5.62,21.44,16.06,49.49,85.84,98.73,12.49,50.44,53.52,8.363944142564248,9.660138816158982,62.505,65.647,72.645,5.405,3.214,1.572,67.5,,2004.0,90.976
Tunisia,TUN,France,catholic,0,1956,33.9,6.454545497894287,4.143134593963623,8.4826021194458,3.0,7.0,0.0,0.0,0.0,0.0,0.38,24.6,52.07,96.55,0.17,12.74,1.41,,8.229316010598724,44.049,59.306,75.004,7.157,5.972,2.0,288.0,,1993.0,41.768
Uganda,UGA,Britain,protestant,1,1962,1.4,4.454545497894287,5.63478946685791,6.966024398803711,0.0,-1.0,0.09,0.93,0.2,1.87,3.56,9.13,19.59,42.21,1.79,4.06,9.11,,6.8211456743620875,45.633,46.517,66.41,6.905,7.201,4.621,223.0,,,
United Republic of Tanzania,TZA,Britain,protestant,1,1961,-6.4,6.636363506317139,5.63478946685791,6.253829002380371,0.0,3.0,0.01,0.05,0.37,1.1,1.39,7.79,12.2,36.47,0.58,3.76,7.67,6.726823674157232,6.948186455382939,42.596,48.922,66.771,6.536,7.101,4.801,243.0,,,
United States of America,USA,Britain,protestant,1,1776,37.1,10.0,2.70805025100708,10.215740203857422,87.5,10.0,21.41,49.33,68.87,86.67,82.07,94.62,95.22,120.23,83.96,94.91,94.49,9.846872650478652,10.98858672419527,69.770732,72.604878,76.980488,3.654,1.774,1.6415,30.1,,1961.0,89.75200000000001
Uruguay,URY,Spain,catholic,0,1828,-32.5,7.0,4.2626800537109375,9.031213760375977,60.000003814697266,10.0,0.04,1.43,0.36,8.03,15.71,50.62,64.51,78.63,16.3,52.74,45.28,8.799991956055209,9.70767724014141,67.683,69.705,78.381,2.827,3.017,1.497,63.6,,1976.0,51.662000000000006
Venezuela (Bolivarian Republic of),VEN,Spain,catholic,0,1821,6.4,7.136363506317139,4.357990264892578,9.071078300476074,20.0,4.0,0.52,5.26,5.03,20.76,17.23,51.36,77.26,89.41,14.71,51.94,44.06,8.310918042011364,7.13518772462619,58.376,66.686,72.369,6.382,4.686,2.116,79.2,,1988.0,67.244
Viet Nam,VNM,France,catholic,0,1945,14.1,6.409090995788574,4.9416422843933105,7.279318809509277,0.0,-7.0,0.03,0.99,0.71,6.96,9.29,45.95,58.84,99.22,2.07,38.17,28.84,,8.102637740453199,58.046,61.865,75.383,6.273,5.621,1.957,101.0,,1993.0,50.054
